#filename;number_of_modules;lines_of_code;lines_of_code_per_module;McCabes_cyclomatic_complexity;McCabes_cyclomatic_complexity_per_module;lines_of_comment;lines_of_comment_per_module;lines_of_code_per_line_of_comment;McCabes_cyclomatic_complexity_per_line_of_comment;IF4;IF4_per_module;IF4_visible;IF4_visible_per_module;IF4_concrete;IF4_concrete;rejected_lines_of_code
csvs/08_10063_50.csv;1;61;61.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_10068_50.csv;1;61;61.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_1007_15.csv;0;51;******;9;******;7;******;7.286;1.286;0;********;0;********;0;********;51
csvs/08_10075_50.csv;1;83;83.000;17;17.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_10081_50.csv;1;83;83.000;17;17.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_10085_5.csv;1;39;39.000;8;8.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;0
csvs/08_10091_15.csv;1;42;42.000;7;7.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;2
csvs/08_10095_15.csv;1;81;81.000;22;22.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_10102_75.csv;1;38;38.000;7;7.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;1
csvs/08_10109_75.csv;1;38;38.000;7;7.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;1
csvs/08_10116_75.csv;1;64;64.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_10123_75.csv;1;64;64.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_10130_75.csv;1;83;83.000;24;24.000;12;12.000;6.917;2.000;0;0.000;0;0.000;0;0.000;2
csvs/08_10135_75.csv;1;83;83.000;24;24.000;12;12.000;6.917;2.000;0;0.000;0;0.000;0;0.000;2
csvs/08_10141_100.csv;1;20;20.000;4;4.000;0;0.000;******;------;0;0.000;0;0.000;0;0.000;1
csvs/08_10147_100.csv;1;20;20.000;4;4.000;0;0.000;******;------;0;0.000;0;0.000;0;0.000;1
csvs/08_10154_100.csv;1;41;41.000;15;15.000;1;1.000;41.000;15.000;0;0.000;0;0.000;0;0.000;5
csvs/08_10160_100.csv;1;41;41.000;15;15.000;1;1.000;41.000;15.000;0;0.000;0;0.000;0;0.000;5
csvs/08_10166_100.csv;1;66;66.000;16;16.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;6
csvs/08_10171_100.csv;1;66;66.000;16;16.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;6
csvs/08_10178_55.csv;1;60;60.000;15;15.000;2;2.000;30.000;7.500;0;0.000;0;0.000;0;0.000;7
csvs/08_10185_55.csv;1;60;60.000;15;15.000;2;2.000;30.000;7.500;0;0.000;0;0.000;0;0.000;7
csvs/08_10191_55.csv;1;27;27.000;9;9.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;2
csvs/08_10198_55.csv;1;66;66.000;14;14.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_10205_55.csv;1;80;80.000;18;18.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;5
csvs/08_10211_55.csv;1;30;30.000;5;5.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;1
csvs/08_10216_25.csv;1;113;113.000;31;31.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;13
csvs/08_10221_25.csv;1;120;120.000;31;31.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;14
csvs/08_10225_25.csv;1;86;86.000;37;37.000;9;9.000;9.556;4.111;0;0.000;0;0.000;0;0.000;4
csvs/08_10231_20.csv;1;82;82.000;26;26.000;4;4.000;20.500;6.500;0;0.000;0;0.000;0;0.000;5
csvs/08_1023_25.csv;1;42;42.000;9;9.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;2
csvs/08_10238_20.csv;1;82;82.000;26;26.000;4;4.000;20.500;6.500;0;0.000;0;0.000;0;0.000;5
csvs/08_10245_50.csv;1;49;49.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_10251_50.csv;1;49;49.000;12;12.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;3
csvs/08_10256_50.csv;1;86;86.000;24;24.000;1;1.000;86.000;24.000;0;0.000;0;0.000;0;0.000;4
csvs/08_10263_50.csv;1;86;86.000;24;24.000;1;1.000;86.000;24.000;0;0.000;0;0.000;0;0.000;4
csvs/08_10269_5.csv;1;36;36.000;7;7.000;5;5.000;7.200;1.400;0;0.000;0;0.000;0;0.000;0
csvs/08_1032_25.csv;1;42;42.000;9;9.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;2
csvs/08_10387_50.csv;1;94;94.000;16;16.000;11;11.000;8.545;1.455;0;0.000;0;0.000;0;0.000;5
csvs/08_10393_50.csv;1;94;94.000;16;16.000;11;11.000;8.545;1.455;0;0.000;0;0.000;0;0.000;5
csvs/08_10399_50.csv;1;141;141.000;17;17.000;10;10.000;14.100;1.700;0;0.000;0;0.000;0;0.000;7
csvs/08_10404_50.csv;1;141;141.000;17;17.000;10;10.000;14.100;1.700;0;0.000;0;0.000;0;0.000;7
csvs/08_10410_15.csv;1;50;50.000;6;6.000;4;4.000;12.500;1.500;0;0.000;0;0.000;0;0.000;1
csvs/08_10417_15.csv;1;50;50.000;6;6.000;4;4.000;12.500;1.500;0;0.000;0;0.000;0;0.000;1
csvs/08_1043_5.csv;1;26;26.000;5;5.000;2;2.000;13.000;2.500;0;0.000;0;0.000;0;0.000;2
csvs/08_10450_30.csv;1;64;64.000;12;12.000;9;9.000;7.111;1.333;0;0.000;0;0.000;0;0.000;7
csvs/08_10455_30.csv;1;53;53.000;14;14.000;4;4.000;13.250;3.500;0;0.000;0;0.000;0;0.000;1
csvs/08_10461_30.csv;1;55;55.000;14;14.000;2;2.000;27.500;7.000;0;0.000;0;0.000;0;0.000;1
csvs/08_10466_15.csv;1;27;27.000;5;5.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_10471_15.csv;1;27;27.000;5;5.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;4
csvs/08_10475_40.csv;1;36;36.000;11;11.000;1;1.000;36.000;11.000;0;0.000;0;0.000;0;0.000;2
csvs/08_10480_40.csv;1;77;77.000;24;24.000;3;3.000;25.667;8.000;0;0.000;0;0.000;0;0.000;6
csvs/08_10485_40.csv;1;64;64.000;19;19.000;20;20.000;3.200;0.950;0;0.000;0;0.000;0;0.000;7
csvs/08_10490_15.csv;1;64;64.000;23;23.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;8
csvs/08_10494_15.csv;1;64;64.000;23;23.000;0;0.000;******;******;0;0.000;0;0.000;0;0.000;8
csvs/08_10506_25.csv;0;7;******;0;******;0;******;------;------;0;********;0;********;0;********;7
csvs/08_10512_25.csv;0;7;******;0;******;0;******;------;------;0;********;0;********;0;********;7
csvs/08_10518_10.csv;1;12;12.000;4;4.000;1;1.000;------;------;0;0.000;0;0.000;0;0.000;6
csvs/08_10524_25.csv;0;7;******;0;******;0;******;------;------;0;********;0;********;0;********;7
csvs/08_10532_25.csv;0;7;******;0;******;0;******;------;------;0;********;0;********;0;********;7
csvs/08_10538_25.csv;0;5;******;0;******;0;******;------;------;0;********;0;********;0;********;5
